title,document_type,abstract,buy_link,identifier,publication_date,season,publisher,city,keywords,disciplines,comments,fulltext_url,cover_image_url,create_openurl,update_reason,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,calc_url,context_key,issue,ctmtime
"Knowledge-based Services, Internationalization and Regional Development (The Dynamics of Economic Space)",book,"<p>Knowledge acquisition and organisation are central to the operation and marketing of many service-providing organisations. These requirements motivate the organisations' structure, their relationships to other organisations, the location of their operations and their entry into new markets. Because the nature of knowledge requirements varies by service sector, as do the organisations' structure and location, studies are necessary to explore the nature of these contingent relationships. An international and interdisciplinary team of leading academics examines the special attributes of knowledge acquisition and diffusion within and across organisations, and the consequent roles that these structurally important firms and institutions play in regional economic development.</p>",http://amzn.com/0754648974,978-0754648970,2006-12-30 00:00,,Ashgate Publising Company,"Aldershot, UK",,,Location: Suzzallo and Allen Libraries Stacks - HD9999.I492 K46 2006,,,FALSE,,James,W.,Harrington,,jwh@u.washington.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/1,6424841,urban_books,1421883007
New Economic Spaces: New Economic Geographies (Dynamics of Economic Space),book,"<p>As a core volume in the ""Dynamics of Economic Space"" series, contributors from North America, Australasia, Europe and the Middle East each address the constitutive processes of new economic and institutional spaces and the theoretical, methodological and policy-engaging practices of emerging economic geographies. Together, they provide a timely and important overview of the current debates about the geographies of economic change. As national and regional economies change rapidly, so the frameworks, concepts and methods used to describe and analyse those processes also need to evolve. This volume puts forward a comprehensive analysis of a range of different and innovative means currently available through which to view regional economic activities and interactions.</p>",http://amzn.com/0754644502,978-0754644507,2005-08-25 00:00,,Ashgate Publising Company,"Aldershot, UK",,,Location: UW Tacoma Library Stacks - HT388 .N475 2005 ,,,FALSE,,James,W.,Harrington,,jwh@u.washington.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/2,6424842,urban_books,1421883008
City and Environment,book,"<p>For the first time in history, more than half the world's people live in cities, an extraordinary change in circumstances for human beings and the natural environment. Coming to terms with an urban world requires an understanding of the complex relationships between cities and natural ecosystems. ""City"" and the ""Environment"" are not mutually exclusive terms. Facing urban conditions in the 21st century requires an understanding of the interaction between social, cultural, economic, political, and environmental factors. Christopher Boone and Ali Modarres explore the city, its environment, and the role humans play in shaping the meaning and condition of both. In doing so, they engage the reader in an exploratory discourse on the urban environment.</p>",http://amzn.com/1592132847,978-1592132843,2006-06-28 00:00,,Temple University Press,"Philadelphia, PA",,,Location: UW Tacoma Library Faculty Publications - HT241 .B66 2006   ,,,FALSE,,Ali,,Modarres,,modarres@u.washington.edu,University of Washington - Tacoma Campus,,Christopher,,Boone,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/3,6424843,urban_books,1421883009
"Patriotic Professionalism in Urban China: Fostering Talent (Urban Life, Landscape and Policy)",book,"<p>In the post-Maoist era, China adopted a strategy for investing in the ""quality"" of its peopleothrough education and training opportunitiesothat created talented labor. In her significant ethnographic study, Patriotic Professionalism in Urban China, Lisa Hoffman explains why the development of ""human capital"" is seen as fundamental for economic growth and national progress. She examines these new urban employees, who were deemed vital to the success of the global city in China, and who hoped for social mobility, a satisfying career, and perhaps a family. Patriotic Professionalism in Urban China addresses the emergence of this urban professional subject in Dalian, a port city in China. Hoffman identifies who these new professionals are, what choices they have made, and how they have remained closely connected with the nationoalthough not necessarily the Communist partyoleading to a new social form she calls ""Patriotic Professionalism."" Hoffman contributes to the understanding of changing urban life in China while providing an analysis of the country's ""late-socialist neoliberalism."" In the process, she asks pressing questions about how such shifts in urban life reshape cities, impact individual and family decisions, and reflect economic growth in China in tandem with ""global"" neoliberal practices.</p>",http://amzn.com/1439900353,978-1439900352,2010-03-28 00:00,,Temple University Press,"Philadelphia, PA",,,Location: UW Tacoma Library Faculty Publications - HD8038.A3 H645 2010,,,FALSE,,Lisa,,Hoffman,,hoffmanl@uw.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/4,6424844,urban_books,1421883011
"Urban Growth Management and Its Discontents: Promises, Practices, and Geopolitics in U.S. City-Regions",book,"<p>This book investigates urban growth management in the USA as a contested form of state territoriality. Synthesizing, interpreting, and contributing to literature on the history, theory and practices of urban growth management, the analysis offers critically theorized case studies of four ‘city-regions’ located in four different growth management states.</p>",http://amzn.com/1403975248,978-1403975249,2008-06-24 00:00,,Palgrave Macmillin,"New York, NY",,,Location: UW Tacoma Library Faculty Publications - HT384.U6 D54 2008 ,,,FALSE,,Yonn,,Dierwechter,,yonn@u.washington.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/5,6424845,urban_books,1421883012
"Industrial Location: Principles, Practice and Policy",book,"<p>Location is vital to the efficiency and profitability of industrial activity. Industrial Location presents a comprehensive introduction to and critical review of this field of growing academic and business interest.
In business, the right choices have to be made to produce profit. Industrial location is a fixed investment, crucial to the strategy and capital investment of any organization. Location also impacts upon non-investors, directly affecting employment, the environment, and economic activity in the locale.</p><p>Focusing chiefly on the United States, but drawing on an international range of cases, the authors explain the economic, social and political forces which have shaped comtemporary patterns of industrialization and examines the changing nature of production and systems.</p>",http://amzn.com/0415119510,978-0415119511,1995-09-27 00:00,,Routledge,"New York, NY",,,Location: Suzzallo and Allen Libraries Stacks - HC110.D5 H36 1995,,,FALSE,,James,W.,Harrington,,jwh@u.washington.edu,University of Washington - Tacoma Campus,,Barney,,Warf,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/6,6424846,urban_books,1421883013
Services and Economic Development in the Asia-Pacific,book,"<p>This book explores various aspects of the relationship between service industries and economic development in Japan, South Korea, China, Taiwan, Singapore, India, Australia and New Zealand. It provides new sector-oriented and regional and national perspectives on services and development.</p>",http://amzn.com/B009UWSLLE,978-0754648598,2007-08-01 00:00,,Ashgate Publising Company,"Aldershot, UK",,,Location: Suzzallo and Allen Libraries Stacks - HD9987.A2 S475 2007,,,FALSE,,James,W.,Harrington,,jwh@u.washington.edu,University of Washington - Tacoma Campus,,Peter,W.,Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/7,6424847,urban_books,1421883014
Geography and technology,book,"<p>This volume celebrates the 100th anniversary of the Association of American Geographers. It recognizes the importance of technologies in the production of geographical knowledge.</p><p>The original chapters presented here examine technologies that have affected geography as a discipline. Among the technologies discussed are cartography, the camera, aerial photography, computers, and other computer-related tools. The contributors address the impact of such technologies on geography and society, disciplinary inquiries into the social/technological interfaces, high-tech as well low-tech societies, and applications of technologies to the public and private sectors.</p><p>Geography and Technology can be used as a textbook in geography courses and seminars investigating specific technologies and the impacts of technologies on society and policy. It will also be useful for those in the humanities, social, policy and engineering sciences, planning and development fields where technology questions are becoming of increased importance. Geography clearly has much to learn from other disciplines and fields about geography/technology linkages; others can likewise learn much from us.</p>",http://amzn.com/1402018711,978-1402018718,2004-03-31 00:00,,Springer,"Boston, MA",,,Location: Suzzallo and Allen Libraries Stacks - G70 .G445 2004,,,FALSE,,James,W.,Harrington,,jwh@u.washington.edu,University of Washington - Tacoma Campus,,Stanley,D.,Brunn,,,,,Susan,L.,Cutter,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/8,6424848,urban_books,1421883015
Rediscovering Geography: New Relevance for Science and Society,book,"<p>As political, economic, and environmental issues increasingly spread across the globe, the science of geography is being rediscovered by scientists, policymakers, and educators alike. Geography has been made a core subject in U.S. schools, and scientists from a variety of disciplines are using analytical tools originally developed by geographers.</p><p>Rediscovering Geography presents a broad overview of geography's renewed importance in a changing world. Through discussions and highlighted case studies, this book illustrates geography's impact on international trade, environmental change, population growth, information infrastructure, the condition of cities, the spread of AIDS, and much more.</p><p>The committee examines some of the more significant tools for data collection, storage, analysis, and display, with examples of major contributions made by geographers.</p><p>Rediscovering Geography provides a blueprint for the future of the discipline, recommending how to strengthen its intellectual and institutional foundation and meet the demand for geographic expertise among professionals and the public.</p>",http://amzn.com/030907679X,978-0309076791,1997-04-11 00:00,,National Academy Press,"Washington, D.C.",,,"Location: 
Odegaard Undergraduate Library Stacks - G116 .R43 1997",,,FALSE,,National Research Council,,,,,,TRUE,James,,,,jwh@u.washington.edu,University of Washington - Tacoma Campus,TRUE,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/9,6424849,urban_books,1421883016
Modernizing Yazd: Selective Historical Memory and the Fate of Vernacular Architecture,book,,http://amzn.com/1568591403,978-1568591407,2006-03-30 00:00,,Mazda Publishers,"Costa Mesa, CA",,,Location: Suzzallo and Allen Libraries Stacks - NA9248.Y39 M63 2006,,,FALSE,,Ali,,Modarres,,modarres@u.washington.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/urban_books/10,6424850,urban_books,1421883017
